District,Village,HH_ID,Burnt,Latitude_Baseline_measurement,Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Latitude_Photo_Median,Longitude_Photo_Median,Lat_mean,Lon_mean
Fategharh,Jiwanpura,128941,Y,30.52383833,76.476765,30.517745,76.464789,30.534146,76.480651,30.53420258,76.48074341,30.52748298,76.4757371
Fategharh,Lallon Khurd,139501,N,30.61,76.123,30.611898,76.12301,30.371559,76.072503,30.6106,76.1229,30.55101425,76.11035325
Fategharh,Lallon Khurd,139503,Y,30.60975333,76.1227,,,30.364963,76.07404,30.612296,76.1233865,30.52900411,76.10670883
Fategharh,Lallon Khurd,139505,N,30.6113491,76.1237869,30.610335,76.122145,30.610549,76.124583,30.6092,76.1219,30.61035828,76.12310373
Fategharh,Lallon Khurd,139506,Y,30.6119499,76.122879,,,30.365252,76.070824,30.61432076,76.11897278,30.53050755,76.10422526
Fategharh,Lallon Khurd,139507,Y,30.6113396,76.1227112,30.610445,76.12200667,30.371011,76.072689,30.61109734,76.12049103,30.55097323,76.10947447
Fategharh,Lallon Khurd,139510,N,30.61131,76.121295,,,30.363012,76.075365,30.6083,76.1316,30.52754067,76.10942
Fategharh,Lallon Khurd,139512,Y,,,,,30.365208,76.071348,30.61449432,76.12049103,30.48985116,76.09591951
Fategharh,Lallon Khurd,139514,Y,30.61008833,76.12063167,30.605423,76.125412,,,30.5974,76.1266,30.60430378,76.12421456
Fategharh,Lallon Khurd,139517,Y,30.611,76.121,30.75,76.78,30.364982,76.071363,30.6102,76.119,30.5840455,76.27284075
Fategharh,Lallon Khurd,139518,Y,30.61023333,76.12292167,,,30.609983,76.125745,30.61,76.126,30.61007211,76.12488889
Fategharh,Lallon Khurd,139519,Y,30.6108723,76.1233215,30.78951,75.987165,30.610579,76.1240911,30.6094,76.124,30.65509033,76.0896444
Fategharh,Lallon Khurd,139524,Y,30.61104833,76.12141667,,,30.616064,76.122157,30.6108,76.1215,30.61263744,76.12169122
Fategharh,Lallon Khurd,139528,Y,30.61044833,76.12312833,,,30.60945,76.125403,,,30.60994917,76.12426567
Fategharh,Mianpur,147301,Y,30.516,76.479,30.51612595,76.48051965,30.522709,76.48024,30.52263069,76.48021698,30.51936641,76.47999416
Fategharh,Mianpur,147303,Y,30.53019833,76.49804667,30.51574153,76.48103596,30.509683,76.474405,30.50970078,76.47425842,30.51633091,76.48193651
Fategharh,Mianpur,147305,Y,30.51613167,76.480635,,,30.303827,76.292548,30.5142,76.48665,30.44471956,76.41994433
Fategharh,Mianpur,147311,Y,30.51816333,76.48744333,30.517385,76.485601,30.51722,76.486347,30.51701355,76.48729706,30.51744547,76.4866721
Fategharh,Mianpur,147315,Y,30.37533667,76.65046833,30.51540224,76.48101195,30.312071,76.284605,30.5224,76.4795,30.43130248,76.47389632
Fategharh,Mianpur,147316,Y,30.521,76.482,30.517385,76.485601,30.51826,76.4888136,30.5175,76.4799,30.51853625,76.48407865
Fategharh,Mianpur,147329,Y,,,,,30.305023,76.285699,30.514,76.4825,30.4095115,76.3840995
Fategharh,Mianpur,147333,Y,30.51534833,76.4805,30.51624,76.48081,30.510693,76.490583,30.51062965,76.4911499,30.51322775,76.48576073
Fategharh,Mianpur,147336,Y,30.516,76.48,30.516278,76.480615,30.516575,76.476581,30.51667976,76.47672272,30.51638319,76.47847968
Fategharh,Mianpur,147337,Y,30.516035,76.47798833,,,30.520631,76.483986,30.52040291,76.48400879,30.51902297,76.48199437
Fategharh,Nanowal,151701,Y,30.85824167,76.31293833,30.854851,76.307945,,,30.8574,76.3116,30.85683089,76.31082778
Fategharh,Nanowal,151702,Y,30.86394,76.309765,,,,,30.8568,76.3079,30.86037,76.3088325
Fategharh,Nanowal,151706,Y,30.858575,76.30735333,,,30.87501,76.31089,30.8749,76.3108,30.869495,76.30968111
Fategharh,Nanowal,151708,Y,30.856,76.306,30.5124756,76.1824286,30.856857,76.305389,30.8569,76.3054,30.77055815,76.2748044
Fategharh,Nanowal,151714,Y,30.85771667,76.306995,,,30.853339,76.307444,,,30.85552783,76.3072195
Fategharh,Nanowal,151720,Y,30.85750833,76.30830833,,,30.523329,76.183168,30.8576,76.3083,30.74614578,76.26659211
Fategharh,Nanowal,151723,Y,30.8568726,76.3079758,30.856918,76.309466,30.520964,76.175886,,,30.7449182,76.2644426
Fategharh,Nanowal,151726,Y,30.85013167,76.30855833,,,30.850338,76.308803,30.850093,76.3085855,30.85018756,76.30864894
Fategharh,Nanowal,151727,Y,30.85566,76.30992333,,,30.850257,76.313217,30.8503,76.3134,30.85207233,76.31218011
Fategharh,Nanowal,151732,Y,30.8488,76.3084,30.84977685,76.30837052,30.846948,76.315118,,,30.84850828,76.31062951
Fategharh,Nanowal,151738,Y,30.85590667,76.30961,,,30.510096,76.183781,30.8564,76.3083,30.74080089,76.26723033
Fategharh,Salana Dulla Singh Wala,161802,Y,30.65602167,76.19953667,,,30.648395,76.199397,30.648443,76.199448,30.65095322,76.19946056
Fategharh,Salana Dulla Singh Wala,161803,Y,,,,,,,30.6638,76.1861,30.6638,76.1861
Fategharh,Salana Dulla Singh Wala,161807,Y,30.65646833,76.20005167,,,30.653164,76.200587,30.6532,76.2007,30.65427744,76.20044622
Fategharh,Salana Dulla Singh Wala,161814,Y,30.65816833,76.199925,,,30.653956,76.196397,30.656296,76.195053,30.65614011,76.197125
Fategharh,Salana Dulla Singh Wala,161819,Y,30.3932388,76.1158533,30.63374,76.20445,30.653488,76.186196,,,30.5601556,76.1688331
Fategharh,Salana Dulla Singh Wala,161824,Y,30.66074,76.19148333,30.658386,76.198234,30.660725,76.191686,30.6608,76.1917,30.66016275,76.19327583
Fategharh,Salana Dulla Singh Wala,161828,Y,30.65969,76.198155,,,30.655411,76.189924,30.659206,76.199203,30.65810233,76.19576067
Fategharh,Salana Dulla Singh Wala,161830,Y,30.3932058,76.1157352,30.393377,76.115269,30.6506,76.193511,30.6592,76.1992,30.5240957,76.1559288
Fategharh,Shadipur,164502,Y,30.750725,76.43275,,,30.749241,76.433927,30.74910355,76.43190002,30.74968985,76.43285901
Fategharh,Shadipur,164504,Y,30.75188,76.43172,30.75207,76.431798,,,30.753494,76.4397275,30.75248133,76.43441517
Fategharh,Shadipur,164505,Y,30.751,76.433,30.76171,76.43245,30.7498803,76.434648,30.7527,76.4355,30.75382258,76.4338995
Fategharh,Shadipur,164506,Y,30.74914,76.40985667,,,30.759424,76.424636,30.7507,76.4271,30.753088,76.42053089
Fategharh,Shadipur,164507,Y,30.75151,76.43104167,,,30.749241,76.429939,30.7493,76.4301,30.750017,76.43036022
Fategharh,Shadipur,164509,Y,30.75279,76.43059667,,,30.451081,76.254884,30.747,76.4373,30.65029033,76.37426022
Fategharh,Shadipur,164515,Y,,,,,30.75044,76.426983,30.7511,76.4329,30.75077,76.4299415
Fategharh,Shadipur,164516,Y,,,,,,,30.7524,76.4338,30.7524,76.4338
Fategharh,Shadipur,164523,Y,,,,,30.750143,76.435806,30.7504,76.4353,30.7502715,76.435553
Fategharh,Shadipur,164524,Y,30.75179,76.42952833,,,,,,,30.75179,76.42952833
Fategharh,Shadipur,164526,Y,30.75063333,76.43297,,,30.750294,76.433396,30.74985,76.4325,30.75025911,76.43295533
Fategharh,Shadipur,164527,Y,30.75266333,76.430905,,,30.451247,76.25296,,,30.60195517,76.3419325
Fategharh,Shadipur,164530,Y,30.74886,76.43488,,,30.451746,76.254672,30.7551165,76.430298,30.6519075,76.37328333
Fategharh,Shadipur,164531,Y,30.751745,76.432805,,,30.450874,76.253968,30.75238991,76.42765045,30.65166964,76.37147448
Fatehabad,Bangram,205401,Y,,,,,29.4512,75.4125,29.4514,75.4128,29.4513,75.41265
Fatehabad,Bangram,205406,N,29.43183667,75.42582667,,,29.4301,75.4283,29.4497,75.4238,29.43721222,75.42597556
Fatehabad,Bangram,205408,Y,29.449665,75.424135,,,29.4457,75.3995,,,29.4476825,75.4118175
Fatehabad,Bangram,205411,Y,,,,,29.449,75.4143,29.4488,75.4145,29.4489,75.4144
Fatehabad,Bangram,205416,Y,,,,,29.2705,75.2431,29.4495,75.4228,29.36,75.33295
Fatehabad,Bangram,205422,Y,,,,,29.4641,75.4241,29.46570969,75.42477417,29.46490484,75.42443708
Fatehabad,Bangram,205430,Y,,,,,29.4676,75.4165,29.4574,75.4158,29.4625,75.41615
Fatehabad,Bangram,205441,Y,,,,,29.4625,75.4141,29.4506,75.4306,29.45655,75.42235
Fatehabad,Hasinga,226101,N,29.60308,75.61711833,,,29.609096,75.617031,,,29.606088,75.61707467
Fatehabad,Hasinga,226106,N,,,,,29.5906,75.6653,29.5895,75.6278,29.59005,75.64655
Fatehabad,Hasinga,226107,N,29.59551833,75.62518333,,,29.595322,75.625797,29.5951,75.6192,29.59531344,75.62339344
Fatehabad,Hasinga,226108,N,,,,,29.5951,75.621,,,29.5951,75.621
Fatehabad,Hasinga,226115,N,,,,,29.5965,75.6149,29.5961,75.6156,29.5963,75.61525
Fatehabad,Hasinga,226116,N,29.58928,75.6186,,,29.5894,75.619,29.5813,75.6206,29.58666,75.6194
Fatehabad,Hasinga,226117,N,,,,,29.5791,75.6172,29.5789,75.6166,29.579,75.6169
Fatehabad,Hasinga,226119,N,29.60262833,75.61756833,,,29.601875,75.61211,29.602,75.6121,29.60216778,75.61392611
Fatehabad,Hasinga,226129,N,29.60284667,75.617785,,,29.5796,75.6205,29.5797,75.6206,29.58738222,75.61962833
Fatehabad,Hasinga,226130,N,,,,,29.58675,75.619967,29.5951,75.6192,29.590925,75.6195835
Fatehabad,Hasinga,226135,N,29.602635,75.61742,,,29.581872,75.620021,29.58185005,75.62021637,29.58878568,75.61921912
Fatehabad,Hasinga,226136,N,,,,,,,29.6037,75.6096,29.6037,75.6096
Fatehabad,Khariati Khera,234924,Y,29.51030167,75.35730167,,,,,29.5134,75.3667,29.51185083,75.36200083
Fatehabad,Khariati Khera,234925,Y,29.51012,75.35706,,,29.518224,75.341923,29.5167,75.3438,29.51501467,75.34759433
Fatehabad,Khariati Khera,234926,Y,,,,,29.5164,75.3676,,,29.5164,75.3676
Fatehabad,Khariati Khera,234928,Y,,,,,29.5165,75.348305,,,29.5165,75.348305
Fatehabad,Khariati Khera,234929,Y,,,,,29.518025,75.342332,29.51815,75.34205,29.5180875,75.342191
Fatehabad,Khariati Khera,234931,Y,,,,,29.5175,75.3476,29.5209,75.3403,29.5192,75.34395
Fatehabad,Khariati Khera,234933,Y,,,,,29.5165,75.3423,29.5165,75.3424,29.5165,75.34235
Fatehabad,Khariati Khera,234934,Y,29.51056333,75.35744,,,29.5126,75.3663,29.5128,75.3662,29.51198778,75.36331333
Fatehabad,Khariati Khera,234935,Y,,,,,29.5147,75.3697,29.5165,75.3484,29.5156,75.35905
Fatehabad,Khariati Khera,234936,Y,,,,,29.5131,75.3669,29.5122,75.3675,29.51265,75.3672
Fatehabad,Lalauda,239102,Y,29.63932667,75.87447333,,,29.628752,75.861022,29.6395,75.8754,29.63585956,75.87029844
Fatehabad,Lalauda,239104,Y,29.3822837,75.5228215,29.640129,75.874489,29.6227,75.8778,29.6228,75.8778,29.56697818,75.78822763
Fatehabad,Lalauda,239110,Y,,,,,29.641218,75.892926,,,29.641218,75.892926
Fatehabad,Lalauda,239119,Y,29.63911667,75.87461667,,,29.621187,75.868354,29.6212,75.8683,29.62716789,75.87042356
Fatehabad,Lalauda,239120,Y,29.64595,75.86731,,,29.641845,75.88865,29.6417408,75.88873291,29.6431786,75.8815643
Fatehabad,Lalauda,239124,Y,29.62821167,75.86922333,,,29.6272,75.8731,29.62731934,75.87309265,29.627577,75.87180533
Fatehabad,Lalauda,239125,Y,29.63753,75.87362333,,,29.635,75.8739,29.6246,75.8773,29.63237667,75.87494111
Fatehabad,Lalauda,239136,Y,29.63558833,75.87211833,,,29.6233,75.8748,29.6245,75.8772,29.62779611,75.87470611
Fatehabad,Lalauda,239138,Y,29.63760333,75.87370833,,,29.6393,75.8739,29.62704086,75.87290955,29.63464807,75.87350596
Fatehabad,Lalauda,239139,Y,29.63777333,75.87411833,,,29.6238,75.8755,29.6398,75.8746,29.63379111,75.87473944
Fatehabad,Nangli,251501,Y,29.615635,75.88783667,,,29.609186,75.878558,29.6092,75.8785,29.61134033,75.88163156
Fatehabad,Nangli,251502,Y,29.365253,75.5310979,29.614771,75.88607,29.6152,75.8689,29.6151,75.8689,29.552581,75.78874198
Fatehabad,Nangli,251503,Y,29.61504833,75.88886167,,,29.627583,75.889605,29.62760544,75.88960266,29.62341226,75.88935644
Fatehabad,Nangli,251504,Y,29.61540833,75.88770833,,,29.61417389,75.88182068,29.61415,75.88075,29.61457741,75.88342634
Fatehabad,Nangli,251505,Y,29.61442833,75.88689333,,,29.6173,75.8855,29.6174,75.8856,29.61637611,75.88599778
Fatehabad,Nangli,251508,Y,,,,,29.607558,75.87907,29.6074,75.8791,29.607479,75.879085
Fatehabad,Nangli,251512,Y,,,,,29.6222,75.8857,29.6085,75.8873,29.61535,75.8865
Fatehabad,Nangli,251513,Y,29.61654,75.88446667,,,29.6211,75.8857,29.6199,75.8837,29.61918,75.88462222
Fatehabad,Nangli,251521,Y,29.61527167,75.88890833,,,29.677626,75.890412,,,29.64644883,75.88966017
Fatehabad,Nangli,251522,Y,,,,,29.6146,75.8754,29.6146,75.8754,29.6146,75.8754
Fatehabad,Nangli,251525,Y,,,,,29.60977,75.878428,29.6145,75.8858,29.612135,75.882114
Fatehabad,Nangli,251526,Y,29.614495,75.887715,,,29.6216,75.8857,29.6217,75.8858,29.619265,75.886405
Fatehabad,Nangli,251527,Y,29.61551667,75.88896333,,,29.628152,75.889979,29.6281,75.8899,29.62392289,75.88961411
Fatehabad,Nangli,251529,Y,29.3652646,75.5311309,29.614702,75.88577,29.601044,75.887609,29.6011,75.8876,29.54552765,75.79802748
Fatehabad,Shekhupur Sotar,266015,Y,29.58999333,75.56560167,,,29.35167,75.342166,29.5879,75.5727,29.50985444,75.49348922
Fatehabad,Shekhupur Sotar,266021,Y,29.5889,75.56533167,,,29.5847,75.5628,29.5897,75.5635,29.58776667,75.56387722
Ludhiana,Daudpur,317402,Y,30.72495167,76.20108833,30.725344,76.200762,30.432934,76.120089,30.7248,76.2003,30.65200742,76.18055983
Ludhiana,Daudpur,317425,Y,30.73413667,76.1936,,,30.440299,76.113667,30.7248,76.1884,30.63307856,76.16522233
Ludhiana,Daudpur,317429,Y,30.72514667,76.18908667,30.725344,76.200762,30.435482,76.1137,30.731941,76.195,30.65447842,76.17463717
Ludhiana,Dhandra,318803,Y,30.83026167,75.828755,,,30.841787,75.817245,,,30.83602433,75.823
Ludhiana,Dhandra,318809,Y,30.83057667,75.83008167,,,30.825067,75.846869,30.8249795,75.846817,30.82687439,75.84125589
Ludhiana,Dhandra,318817,Y,30.83094,75.82797,,,30.831348,75.84697,30.831355,75.84685,30.83121433,75.84059667
Ludhiana,Dhandra,318824,Y,30.83057667,75.82762333,,,30.8282536,75.840629,30.82825,75.8406,30.82902676,75.83628411
Ludhiana,Dhandra,318830,Y,30.83084333,75.83200667,,,30.830951,75.846432,30.8311,75.8476,30.83096478,75.84201289
Ludhiana,Dhandra,318831,Y,30.83208,75.83159667,,,30.825055,75.835134,30.8248,75.8354,30.82731167,75.83404356
Ludhiana,Dhandra,318834,Y,,,,,30.848574,75.819683,30.8251,75.8354,30.836837,75.8275415
Ludhiana,Gaggar Majra,322302,Y,,,,,30.738886,76.139126,30.7405,76.138,30.739693,76.138563
Ludhiana,Gaggar Majra,322303,Y,30.71782833,76.145585,,,,,30.7279,76.1404,30.72286417,76.1429925
Ludhiana,Gaggar Majra,322307,Y,30.73641167,76.13682,,,30.736724,76.132453,30.736567,76.137047,30.73656756,76.13544
Ludhiana,Gaggar Majra,322316,Y,30.73576,76.13788167,30.82996064,75.83014365,30.73399,76.136482,,,30.76657021,76.03483577
Ludhiana,Gaggar Majra,322317,Y,30.73598833,76.13635333,,,30.735092,76.136545,30.7353,76.1365,30.73546011,76.13646611
