District,Village,HH_ID,Burnt,Latitude (Baseline measurement),Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Lat_Median,Lon_Median
Fategharh,Mianpur,147315,Y,30.37533667,76.65046833,30.51540224,76.48101195,30.312071,76.284605,30.40093664,76.47202843
Fategharh,Mianpur,147316,Y,30.521,76.482,30.517385,76.485601,30.51826,76.4888136,30.51888167,76.48547153
Fategharh,Mianpur,147329,Y,,,,,30.305023,76.285699,30.305023,76.285699
Fategharh,Mianpur,147333,Y,30.51534833,76.4805,30.51624,76.48081,30.510693,76.490583,30.51409378,76.48396433
Fategharh,Mianpur,147336,Y,30.516,76.48,30.516278,76.480615,30.516575,76.476581,30.51628433,76.47906533
Fategharh,Mianpur,147337,Y,30.516035,76.47798833,,,30.520631,76.483986,30.518333,76.48098717
Fategharh,Nanowal,151701,Y,30.85824167,76.31293833,30.854851,76.307945,,,30.85654634,76.31044167
Fategharh,Nanowal,151702,Y,30.86394,76.309765,,,,,30.86394,76.309765
Fategharh,Nanowal,151706,Y,30.858575,76.30735333,,,30.87501,76.31089,30.8667925,76.30912167
Fategharh,Nanowal,151708,Y,30.856,76.306,30.5124756,76.1824286,30.856857,76.305389,30.74177753,76.26460587
Fategharh,Nanowal,151714,Y,30.85771667,76.306995,,,30.853339,76.307444,30.85552784,76.3072195
Fategharh,Nanowal,151720,Y,30.85750833,76.30830833,,,30.523329,76.183168,30.69041867,76.24573817
Fategharh,Nanowal,151723,Y,30.8568726,76.3079758,30.856918,76.309466,30.520964,76.175886,30.7449182,76.2644426
Fategharh,Nanowal,151726,Y,30.85013167,76.30855833,,,30.850338,76.308803,30.85023484,76.30868067
Fategharh,Nanowal,151727,Y,30.85566,76.30992333,,,30.850257,76.313217,30.8529585,76.31157017
Fategharh,Nanowal,151732,Y,30.8488,76.3084,30.84977685,76.30837052,30.846948,76.315118,30.84850828,76.31062951
Fategharh,Nanowal,151738,Y,30.85590667,76.30961,,,30.510096,76.183781,30.68300134,76.2466955
Fategharh,Salana Dulla Singh Wala,161802,Y,30.65602167,76.19953667,,,30.648395,76.199397,30.65220834,76.19946684
Fategharh,Salana Dulla Singh Wala,161803,Y,,,,,,,,
Fategharh,Salana Dulla Singh Wala,161807,Y,30.65646833,76.20005167,,,30.653164,76.200587,30.65481617,76.20031934
Fategharh,Salana Dulla Singh Wala,161814,Y,30.65816833,76.199925,,,30.653956,76.196397,30.65606217,76.198161
Fategharh,Salana Dulla Singh Wala,161819,Y,30.3932388,76.1158533,30.63374,76.20445,30.653488,76.186196,30.5601556,76.1688331
Fategharh,Salana Dulla Singh Wala,161824,Y,30.66074,76.19148333,30.658386,76.198234,30.660725,76.191686,30.65995033,76.19380111
Fategharh,Salana Dulla Singh Wala,161828,Y,30.65969,76.198155,,,30.655411,76.189924,30.6575505,76.1940395
Fategharh,Salana Dulla Singh Wala,161830,Y,30.3932058,76.1157352,30.393377,76.115269,30.6506,76.193511,30.47906093,76.14150507
Fategharh,Shadipur,164502,Y,30.750725,76.43275,,,30.749241,76.433927,30.749983,76.4333385
Fategharh,Shadipur,164504,Y,30.75188,76.43172,30.75207,76.431798,,,30.751975,76.431759
Fategharh,Shadipur,164505,Y,30.751,76.433,30.76171,76.43245,30.7498803,76.434648,30.75419677,76.433366
Fategharh,Shadipur,164506,Y,30.74914,76.40985667,,,30.759424,76.424636,30.754282,76.41724634
Fategharh,Shadipur,164507,Y,30.75151,76.43104167,,,30.749241,76.429939,30.7503755,76.43049034
Fategharh,Shadipur,164509,Y,30.75279,76.43059667,,,30.451081,76.254884,30.6019355,76.34274034
Fategharh,Shadipur,164515,Y,,,,,30.75044,76.426983,30.75044,76.426983
